id_workout,member_id,workout_type,session_duration,calories_burned,workout_frequency,experience_level,source_file,ingested_at
52,2331.0,Cardio,1.67,1133.0,5.0,3.0,members_tracking.csv,2026-02-17 11:14:27.086636
53,2522.0,Cardio,1.13,750.0,3.0,1.0,members_tracking.csv,2026-02-17 11:14:27.086636
54,392.0,Strength,1.26,1046.0,3.0,1.0,members_tracking.csv,2026-02-17 11:14:27.086636
55,252.0,HIIT,0.81,506.0,3.0,1.0,members_tracking.csv,2026-02-17 11:14:27.086636
56,532.0,Cardio,1.47,1318.0,4.0,2.0,members_tracking.csv,2026-02-17 11:14:27.086636
57,2556.0,Yoga,1.4,1021.0,3.0,2.0,members_tracking.csv,2026-02-17 11:14:27.086636
58,348.0,Cardio,1.08,832.0,3.0,1.0,members_tracking.csv,2026-02-17 11:14:27.086636
59,1896.0,Cardio,1.67,1150.0,4.0,3.0,members_tracking.csv,2026-02-17 11:14:27.086636
60,1274.0,HIIT,0.56,440.0,2.0,1.0,members_tracking.csv,2026-02-17 11:14:27.086636
61,1697.0,Strength,1.04,580.0,3.0,2.0,members_tracking.csv,2026-02-17 11:14:27.086636
62,2192.0,Yoga,1.08,666.0,4.0,2.0,members_tracking.csv,2026-02-17 11:14:27.086636
63,787.0,Strength,1.75,1299.0,5.0,3.0,members_tracking.csv,2026-02-17 11:14:27.086636
64,2329.0,Strength,1.23,773.0,3.0,2.0,members_tracking.csv,2026-02-17 11:14:27.086636
65,1034.0,Strength,1.97,1418.0,5.0,3.0,members_tracking.csv,2026-02-17 11:14:27.086636
66,2009.0,Cardio,0.62,421.0,2.0,1.0,members_tracking.csv,2026-02-17 11:14:27.086636
67,1099.0,HIIT,1.99,1587.0,5.0,3.0,members_tracking.csv,2026-02-17 11:14:27.086636
68,647.0,Cardio,0.89,627.0,3.0,1.0,members_tracking.csv,2026-02-17 11:14:27.086636
69,1047.0,Yoga,1.81,1358.0,4.0,3.0,members_tracking.csv,2026-02-17 11:14:27.086636
70,1549.0,HIIT,1.32,1176.0,4.0,2.0,members_tracking.csv,2026-02-17 11:14:27.086636
71,2490.0,Strength,1.73,1004.0,5.0,3.0,members_tracking.csv,2026-02-17 11:14:27.086636
72,1426.0,HIIT,1.47,963.0,3.0,2.0,members_tracking.csv,2026-02-17 11:14:27.086636
73,1136.0,Yoga,1.07,786.0,4.0,2.0,members_tracking.csv,2026-02-17 11:14:27.086636
74,1313.0,Cardio,1.08,743.0,3.0,2.0,members_tracking.csv,2026-02-17 11:14:27.086636
75,1601.0,Cardio,1.13,777.0,4.0,2.0,members_tracking.csv,2026-02-17 11:14:27.086636
76,1748.0,Strength,1.08,663.0,3.0,1.0,members_tracking.csv,2026-02-17 11:14:27.086636
77,1646.0,Cardio,1.37,875.0,3.0,1.0,members_tracking.csv,2026-02-17 11:14:27.086636
78,2539.0,Cardio,0.63,363.0,2.0,1.0,members_tracking.csv,2026-02-17 11:14:27.086636
79,1922.0,Yoga,1.18,864.0,2.0,1.0,members_tracking.csv,2026-02-17 11:14:27.086636
80,1079.0,HIIT,1.87,1262.0,5.0,3.0,members_tracking.csv,2026-02-17 11:14:27.086636
81,53.0,Cardio,1.2,990.0,2.0,1.0,members_tracking.csv,2026-02-17 11:14:27.086636
82,1649.0,Yoga,1.78,1129.0,5.0,3.0,members_tracking.csv,2026-02-17 11:14:27.086636
83,580.0,Yoga,0.86,546.0,3.0,1.0,members_tracking.csv,2026-02-17 11:14:27.086636
84,690.0,Strength,1.08,751.0,2.0,1.0,members_tracking.csv,2026-02-17 11:14:27.086636
85,1618.0,Yoga,1.13,744.0,3.0,2.0,members_tracking.csv,2026-02-17 11:14:27.086636
86,34.0,Strength,1.27,1003.0,4.0,2.0,members_tracking.csv,2026-02-17 11:14:27.086636
87,671.0,Cardio,1.34,1150.0,3.0,2.0,members_tracking.csv,2026-02-17 11:14:27.086636
88,1573.0,Strength,1.45,1103.0,4.0,2.0,members_tracking.csv,2026-02-17 11:14:27.086636
89,859.0,Yoga,1.09,917.0,4.0,2.0,members_tracking.csv,2026-02-17 11:14:27.086636
90,1208.0,HIIT,0.64,416.0,2.0,1.0,members_tracking.csv,2026-02-17 11:14:27.086636
91,657.0,HIIT,1.93,1688.0,4.0,3.0,members_tracking.csv,2026-02-17 11:14:27.086636
92,2245.0,Cardio,1.8,1231.0,4.0,3.0,members_tracking.csv,2026-02-17 11:14:27.086636
93,2268.0,Cardio,1.26,936.0,3.0,2.0,members_tracking.csv,2026-02-17 11:14:27.086636
94,2124.0,HIIT,1.26,924.0,3.0,1.0,members_tracking.csv,2026-02-17 11:14:27.086636
95,467.0,Strength,1.25,1052.0,3.0,2.0,members_tracking.csv,2026-02-17 11:14:27.086636
96,2558.0,Cardio,0.58,441.0,3.0,1.0,members_tracking.csv,2026-02-17 11:14:27.086636
97,2477.0,Yoga,1.29,805.0,2.0,1.0,members_tracking.csv,2026-02-17 11:14:27.086636
98,2545.0,Cardio,1.33,1106.0,3.0,1.0,members_tracking.csv,2026-02-17 11:14:27.086636
99,1816.0,Strength,1.15,735.0,4.0,2.0,members_tracking.csv,2026-02-17 11:14:27.086636
100,582.0,Cardio,1.97,1625.0,4.0,3.0,members_tracking.csv,2026-02-17 11:14:27.086636
101,721.0,Yoga,1.16,804.0,3.0,2.0,members_tracking.csv,2026-02-17 11:14:27.086636
102,628.0,Yoga,1.49,1073.0,4.0,2.0,members_tracking.csv,2026-02-17 11:14:27.086636
103,919.0,Yoga,1.2,805.0,3.0,2.0,members_tracking.csv,2026-02-17 11:14:27.086636
104,2220.0,Strength,0.54,420.0,3.0,1.0,members_tracking.csv,2026-02-17 11:14:27.086636
105,2178.0,Strength,0.97,667.0,3.0,1.0,members_tracking.csv,2026-02-17 11:14:27.086636
106,1539.0,Yoga,1.79,1369.0,5.0,3.0,members_tracking.csv,2026-02-17 11:14:27.086636
107,1624.0,Yoga,0.51,424.0,2.0,1.0,members_tracking.csv,2026-02-17 11:14:27.086636
108,2392.0,Strength,1.74,1404.0,5.0,3.0,members_tracking.csv,2026-02-17 11:14:27.086636
109,2236.0,Strength,1.39,1020.0,3.0,2.0,members_tracking.csv,2026-02-17 11:14:27.086636
110,2497.0,Strength,1.01,677.0,4.0,2.0,members_tracking.csv,2026-02-17 11:14:27.086636
111,1475.0,HIIT,1.44,979.0,3.0,2.0,members_tracking.csv,2026-02-17 11:14:27.086636
112,1764.0,Strength,1.41,819.0,4.0,2.0,members_tracking.csv,2026-02-17 11:14:27.086636
113,2285.0,Yoga,1.78,1357.0,4.0,3.0,members_tracking.csv,2026-02-17 11:14:27.086636
114,218.0,HIIT,1.72,1315.0,4.0,3.0,members_tracking.csv,2026-02-17 11:14:27.086636
115,2278.0,Strength,1.01,685.0,4.0,2.0,members_tracking.csv,2026-02-17 11:14:27.086636
116,2373.0,Yoga,0.55,446.0,3.0,1.0,members_tracking.csv,2026-02-17 11:14:27.086636
117,1019.0,Cardio,1.09,888.0,3.0,2.0,members_tracking.csv,2026-02-17 11:14:27.086636
118,345.0,HIIT,1.69,1357.0,5.0,3.0,members_tracking.csv,2026-02-17 11:14:27.086636
119,161.0,Yoga,1.41,1303.0,2.0,1.0,members_tracking.csv,2026-02-17 11:14:27.086636
120,415.0,Cardio,1.02,790.0,4.0,2.0,members_tracking.csv,2026-02-17 11:14:27.086636
121,1752.0,Yoga,1.22,858.0,4.0,2.0,members_tracking.csv,2026-02-17 11:14:27.086636
122,1071.0,Strength,1.29,1071.0,3.0,2.0,members_tracking.csv,2026-02-17 11:14:27.086636
123,2487.0,Strength,1.0,639.0,2.0,1.0,members_tracking.csv,2026-02-17 11:14:27.086636
124,1806.0,Cardio,1.28,824.0,4.0,2.0,members_tracking.csv,2026-02-17 11:14:27.086636
125,728.0,Strength,1.97,1701.0,5.0,3.0,members_tracking.csv,2026-02-17 11:14:27.086636
126,1104.0,Yoga,1.28,880.0,3.0,1.0,members_tracking.csv,2026-02-17 11:14:27.086636
127,1086.0,Cardio,0.51,408.0,2.0,1.0,members_tracking.csv,2026-02-17 11:14:27.086636
128,1714.0,Yoga,1.98,1479.0,4.0,3.0,members_tracking.csv,2026-02-17 11:14:27.086636
129,2599.0,Yoga,0.66,500.0,3.0,1.0,members_tracking.csv,2026-02-17 11:14:27.086636
130,1003.0,Yoga,1.61,1373.0,5.0,3.0,members_tracking.csv,2026-02-17 11:14:27.086636
131,2074.0,Strength,1.24,870.0,3.0,2.0,members_tracking.csv,2026-02-17 11:14:27.086636
132,2486.0,Strength,0.68,458.0,3.0,1.0,members_tracking.csv,2026-02-17 11:14:27.086636
133,2109.0,Yoga,1.91,1503.0,5.0,3.0,members_tracking.csv,2026-02-17 11:14:27.086636
134,386.0,HIIT,1.38,1207.0,3.0,2.0,members_tracking.csv,2026-02-17 11:14:27.086636
135,1959.0,Yoga,1.42,837.0,4.0,2.0,members_tracking.csv,2026-02-17 11:14:27.086636
136,2395.0,Yoga,1.17,811.0,2.0,1.0,members_tracking.csv,2026-02-17 11:14:27.086636
137,1532.0,Cardio,1.31,1041.0,3.0,2.0,members_tracking.csv,2026-02-17 11:14:27.086636
138,2470.0,Yoga,0.66,451.0,2.0,1.0,members_tracking.csv,2026-02-17 11:14:27.086636
139,1082.0,Strength,1.24,756.0,2.0,1.0,members_tracking.csv,2026-02-17 11:14:27.086636
140,1892.0,Cardio,1.69,1042.0,4.0,3.0,members_tracking.csv,2026-02-17 11:14:27.086636
141,2336.0,HIIT,0.89,608.0,3.0,1.0,members_tracking.csv,2026-02-17 11:14:27.086636
142,955.0,Cardio,1.26,1046.0,4.0,2.0,members_tracking.csv,2026-02-17 11:14:27.086636
143,2108.0,HIIT,1.38,854.0,2.0,1.0,members_tracking.csv,2026-02-17 11:14:27.086636
144,583.0,Cardio,1.42,958.0,4.0,2.0,members_tracking.csv,2026-02-17 11:14:27.086636
145,1501.0,Cardio,0.97,678.0,3.0,1.0,members_tracking.csv,2026-02-17 11:14:27.086636
146,1865.0,HIIT,1.53,1265.0,4.0,3.0,members_tracking.csv,2026-02-17 11:14:27.086636
147,251.0,Strength,1.28,877.0,3.0,2.0,members_tracking.csv,2026-02-17 11:14:27.086636
148,2601.0,Strength,1.07,885.0,3.0,1.0,members_tracking.csv,2026-02-17 11:14:27.086636
149,547.0,Strength,0.7,624.0,3.0,1.0,members_tracking.csv,2026-02-17 11:14:27.086636
150,1837.0,Cardio,1.46,1038.0,3.0,1.0,members_tracking.csv,2026-02-17 11:14:27.086636
151,1866.0,Yoga,1.46,1214.0,3.0,2.0,members_tracking.csv,2026-02-17 11:14:27.086636
152,1419.0,Cardio,0.54,499.0,2.0,1.0,members_tracking.csv,2026-02-17 11:14:27.086636
153,1937.0,Yoga,1.95,1150.0,4.0,3.0,members_tracking.csv,2026-02-17 11:14:27.086636
154,827.0,Yoga,1.32,1082.0,3.0,2.0,members_tracking.csv,2026-02-17 11:14:27.086636
155,1856.0,Strength,0.83,530.0,2.0,1.0,members_tracking.csv,2026-02-17 11:14:27.086636
156,1687.0,Yoga,1.42,886.0,4.0,2.0,members_tracking.csv,2026-02-17 11:14:27.086636
157,2457.0,Cardio,1.23,913.0,4.0,2.0,members_tracking.csv,2026-02-17 11:14:27.086636
158,2139.0,Cardio,0.67,362.0,3.0,1.0,members_tracking.csv,2026-02-17 11:14:27.086636
159,115.0,Strength,1.3,1201.0,2.0,1.0,members_tracking.csv,2026-02-17 11:14:27.086636
160,1776.0,HIIT,1.02,711.0,3.0,1.0,members_tracking.csv,2026-02-17 11:14:27.086636
161,981.0,Cardio,1.08,832.0,3.0,2.0,members_tracking.csv,2026-02-17 11:14:27.086636
162,2554.0,Yoga,1.49,1151.0,3.0,2.0,members_tracking.csv,2026-02-17 11:14:27.086636
163,339.0,Cardio,1.36,1070.0,3.0,2.0,members_tracking.csv,2026-02-17 11:14:27.086636
164,2479.0,Cardio,1.57,1119.0,4.0,3.0,members_tracking.csv,2026-02-17 11:14:27.086636
165,546.0,Cardio,1.55,1074.0,4.0,3.0,members_tracking.csv,2026-02-17 11:14:27.086636
166,629.0,HIIT,1.04,837.0,4.0,2.0,members_tracking.csv,2026-02-17 11:14:27.086636
167,1761.0,Yoga,1.58,967.0,5.0,3.0,members_tracking.csv,2026-02-17 11:14:27.086636
168,683.0,Strength,1.14,844.0,3.0,1.0,members_tracking.csv,2026-02-17 11:14:27.086636
169,2361.0,Cardio,1.27,852.0,2.0,1.0,members_tracking.csv,2026-02-17 11:14:27.086636
170,2179.0,Yoga,0.92,574.0,2.0,1.0,members_tracking.csv,2026-02-17 11:14:27.086636
171,2590.0,Yoga,1.08,813.0,3.0,1.0,members_tracking.csv,2026-02-17 11:14:27.086636
172,1616.0,Strength,1.09,680.0,4.0,2.0,members_tracking.csv,2026-02-17 11:14:27.086636
173,1115.0,Cardio,1.52,1195.0,5.0,3.0,members_tracking.csv,2026-02-17 11:14:27.086636
174,2057.0,HIIT,1.1,644.0,3.0,1.0,members_tracking.csv,2026-02-17 11:14:27.086636
175,2091.0,Yoga,1.46,925.0,3.0,1.0,members_tracking.csv,2026-02-17 11:14:27.086636
176,1606.0,Strength,1.2,778.0,3.0,2.0,members_tracking.csv,2026-02-17 11:14:27.086636
177,2540.0,HIIT,1.58,1095.0,4.0,3.0,members_tracking.csv,2026-02-17 11:14:27.086636
178,904.0,Yoga,0.68,418.0,3.0,1.0,members_tracking.csv,2026-02-17 11:14:27.086636
179,2446.0,Cardio,1.1,767.0,3.0,2.0,members_tracking.csv,2026-02-17 11:14:27.086636
180,243.0,Yoga,1.05,772.0,3.0,1.0,members_tracking.csv,2026-02-17 11:14:27.086636
181,335.0,HIIT,0.83,603.0,3.0,1.0,members_tracking.csv,2026-02-17 11:14:27.086636
182,2386.0,HIIT,1.54,1082.0,5.0,3.0,members_tracking.csv,2026-02-17 11:14:27.086636
183,1227.0,Cardio,1.81,1249.0,5.0,3.0,members_tracking.csv,2026-02-17 11:14:27.086636
184,275.0,Cardio,1.28,1133.0,2.0,1.0,members_tracking.csv,2026-02-17 11:14:27.086636
185,278.0,Strength,1.66,1424.0,4.0,3.0,members_tracking.csv,2026-02-17 11:14:27.086636
186,1871.0,Cardio,1.44,1126.0,4.0,2.0,members_tracking.csv,2026-02-17 11:14:27.086636
187,1537.0,Strength,1.87,1337.0,5.0,3.0,members_tracking.csv,2026-02-17 11:14:27.086636
188,2391.0,HIIT,1.2,802.0,4.0,2.0,members_tracking.csv,2026-02-17 11:14:27.086636
189,2067.0,HIIT,1.37,937.0,3.0,2.0,members_tracking.csv,2026-02-17 11:14:27.086636
190,2175.0,Yoga,1.09,707.0,4.0,2.0,members_tracking.csv,2026-02-17 11:14:27.086636
191,190.0,Yoga,1.1,926.0,4.0,2.0,members_tracking.csv,2026-02-17 11:14:27.086636
192,1353.0,Strength,1.23,852.0,3.0,1.0,members_tracking.csv,2026-02-17 11:14:27.086636
193,232.0,Cardio,1.23,800.0,3.0,1.0,members_tracking.csv,2026-02-17 11:14:27.086636
194,1738.0,Cardio,1.33,988.0,2.0,1.0,members_tracking.csv,2026-02-17 11:14:27.086636
195,2064.0,Yoga,1.03,686.0,3.0,2.0,members_tracking.csv,2026-02-17 11:14:27.086636
196,487.0,HIIT,0.56,370.0,3.0,1.0,members_tracking.csv,2026-02-17 11:14:27.086636
197,2058.0,Strength,1.45,979.0,4.0,2.0,members_tracking.csv,2026-02-17 11:14:27.086636
198,382.0,HIIT,1.71,1138.0,4.0,3.0,members_tracking.csv,2026-02-17 11:14:27.086636
199,880.0,HIIT,1.18,1025.0,3.0,1.0,members_tracking.csv,2026-02-17 11:14:27.086636
200,1241.0,Cardio,1.26,929.0,4.0,2.0,members_tracking.csv,2026-02-17 11:14:27.086636
201,2430.0,Strength,1.03,663.0,4.0,2.0,members_tracking.csv,2026-02-17 11:14:27.086636
202,1576.0,HIIT,1.84,1267.0,5.0,3.0,members_tracking.csv,2026-02-17 11:14:27.086636
203,436.0,Yoga,1.49,1177.0,3.0,1.0,members_tracking.csv,2026-02-17 11:14:27.086636
204,2198.0,Yoga,1.08,598.0,4.0,2.0,members_tracking.csv,2026-02-17 11:14:27.086636
205,560.0,Cardio,1.79,1280.0,4.0,3.0,members_tracking.csv,2026-02-17 11:14:27.086636
206,1485.0,Yoga,1.95,1443.0,5.0,3.0,members_tracking.csv,2026-02-17 11:14:27.086636
207,868.0,Yoga,1.2,799.0,3.0,2.0,members_tracking.csv,2026-02-17 11:14:27.086636
208,1147.0,HIIT,1.18,796.0,4.0,2.0,members_tracking.csv,2026-02-17 11:14:27.086636
209,2154.0,Yoga,1.37,1071.0,4.0,2.0,members_tracking.csv,2026-02-17 11:14:27.086636
210,743.0,Yoga,1.71,1241.0,4.0,3.0,members_tracking.csv,2026-02-17 11:14:27.086636
211,504.0,HIIT,1.47,1147.0,4.0,2.0,members_tracking.csv,2026-02-17 11:14:27.086636
212,1148.0,Cardio,1.08,734.0,3.0,1.0,members_tracking.csv,2026-02-17 11:14:27.086636
213,1883.0,Cardio,1.83,1153.0,4.0,3.0,members_tracking.csv,2026-02-17 11:14:27.086636
214,300.0,Strength,1.28,1043.0,3.0,2.0,members_tracking.csv,2026-02-17 11:14:27.086636
215,1411.0,Yoga,1.11,842.0,3.0,2.0,members_tracking.csv,2026-02-17 11:14:27.086636
216,2304.0,HIIT,1.24,703.0,3.0,1.0,members_tracking.csv,2026-02-17 11:14:27.086636
217,1319.0,Strength,1.13,887.0,4.0,2.0,members_tracking.csv,2026-02-17 11:14:27.086636
218,1696.0,Cardio,1.28,732.0,2.0,1.0,members_tracking.csv,2026-02-17 11:14:27.086636
219,318.0,Cardio,1.35,980.0,4.0,2.0,members_tracking.csv,2026-02-17 11:14:27.086636
220,1362.0,HIIT,1.19,1021.0,2.0,1.0,members_tracking.csv,2026-02-17 11:14:27.086636
221,1394.0,Strength,1.21,732.0,3.0,2.0,members_tracking.csv,2026-02-17 11:14:27.086636
222,2103.0,Strength,1.87,1481.0,4.0,3.0,members_tracking.csv,2026-02-17 11:14:27.086636
223,579.0,HIIT,0.63,410.0,3.0,1.0,members_tracking.csv,2026-02-17 11:14:27.086636
224,2553.0,HIIT,1.57,1111.0,4.0,3.0,members_tracking.csv,2026-02-17 11:14:27.086636
225,2166.0,Strength,1.46,903.0,3.0,2.0,members_tracking.csv,2026-02-17 11:14:27.086636
226,2520.0,Cardio,1.8,1292.0,5.0,3.0,members_tracking.csv,2026-02-17 11:14:27.086636
227,2473.0,Yoga,1.09,680.0,3.0,2.0,members_tracking.csv,2026-02-17 11:14:27.086636
228,1275.0,Cardio,1.0,790.0,4.0,2.0,members_tracking.csv,2026-02-17 11:14:27.086636
229,2493.0,HIIT,1.45,900.0,4.0,2.0,members_tracking.csv,2026-02-17 11:14:27.086636
230,17.0,Strength,1.87,1169.0,4.0,3.0,members_tracking.csv,2026-02-17 11:14:27.086636
231,856.0,Strength,1.16,1034.0,3.0,2.0,members_tracking.csv,2026-02-17 11:14:27.086636
232,1825.0,Yoga,1.44,959.0,3.0,1.0,members_tracking.csv,2026-02-17 11:14:27.086636
233,1650.0,Strength,1.29,940.0,3.0,2.0,members_tracking.csv,2026-02-17 11:14:27.086636
234,1531.0,Yoga,1.55,1224.0,4.0,3.0,members_tracking.csv,2026-02-17 11:14:27.086636
235,2035.0,Cardio,1.36,815.0,4.0,2.0,members_tracking.csv,2026-02-17 11:14:27.086636
236,1982.0,Cardio,1.2,820.0,4.0,2.0,members_tracking.csv,2026-02-17 11:14:27.086636
237,2592.0,Strength,1.13,688.0,3.0,2.0,members_tracking.csv,2026-02-17 11:14:27.086636
238,2244.0,Strength,1.6,900.0,4.0,3.0,members_tracking.csv,2026-02-17 11:14:27.086636
239,570.0,HIIT,0.99,832.0,2.0,1.0,members_tracking.csv,2026-02-17 11:14:27.086636
240,1139.0,HIIT,1.29,1006.0,4.0,2.0,members_tracking.csv,2026-02-17 11:14:27.086636
241,1736.0,Strength,0.82,597.0,2.0,1.0,members_tracking.csv,2026-02-17 11:14:27.086636
242,281.0,Strength,1.31,1074.0,2.0,1.0,members_tracking.csv,2026-02-17 11:14:27.086636
243,69.0,Cardio,1.11,699.0,2.0,1.0,members_tracking.csv,2026-02-17 11:14:27.086636
244,918.0,Strength,1.41,993.0,3.0,1.0,members_tracking.csv,2026-02-17 11:14:27.086636
245,479.0,HIIT,1.16,919.0,3.0,2.0,members_tracking.csv,2026-02-17 11:14:27.086636
246,2376.0,Cardio,0.77,579.0,2.0,1.0,members_tracking.csv,2026-02-17 11:14:27.086636
247,2090.0,Yoga,1.4,832.0,4.0,2.0,members_tracking.csv,2026-02-17 11:14:27.086636
248,693.0,HIIT,0.81,506.0,3.0,1.0,members_tracking.csv,2026-02-17 11:14:27.086636
249,2548.0,HIIT,1.09,739.0,2.0,1.0,members_tracking.csv,2026-02-17 11:14:27.086636
250,2274.0,Cardio,0.93,594.0,2.0,1.0,members_tracking.csv,2026-02-17 11:14:27.086636
251,1372.0,Yoga,1.33,1075.0,3.0,1.0,members_tracking.csv,2026-02-17 11:14:27.086636
252,1178.0,HIIT,1.04,744.0,3.0,2.0,members_tracking.csv,2026-02-17 11:14:27.086636
253,304.0,Strength,1.39,1056.0,4.0,2.0,members_tracking.csv,2026-02-17 11:14:27.086636
254,1382.0,HIIT,1.11,666.0,3.0,2.0,members_tracking.csv,2026-02-17 11:14:27.086636
255,1607.0,Cardio,1.01,660.0,4.0,2.0,members_tracking.csv,2026-02-17 11:14:27.086636
256,2160.0,Cardio,1.31,1012.0,2.0,1.0,members_tracking.csv,2026-02-17 11:14:27.086636
257,1615.0,Cardio,1.69,1163.0,4.0,3.0,members_tracking.csv,2026-02-17 11:14:27.086636
258,874.0,HIIT,1.33,878.0,4.0,2.0,members_tracking.csv,2026-02-17 11:14:27.086636
259,678.0,Yoga,1.15,772.0,3.0,2.0,members_tracking.csv,2026-02-17 11:14:27.086636
260,2334.0,Strength,0.52,353.0,2.0,1.0,members_tracking.csv,2026-02-17 11:14:27.086636
261,2412.0,Cardio,1.06,763.0,2.0,1.0,members_tracking.csv,2026-02-17 11:14:27.086636
262,2512.0,Yoga,0.96,632.0,2.0,1.0,members_tracking.csv,2026-02-17 11:14:27.086636
263,1377.0,Strength,1.31,982.0,3.0,1.0,members_tracking.csv,2026-02-17 11:14:27.086636
